geneID	rice_mock.rep1_count	rice_mock.rep2_count	rice_RSV.rep1_count	rice_RSV.rep2_count	rice_mock.rep1_cpm	rice_mock.rep2_cpm	rice_RSV.rep1_cpm	rice_RSV.rep2_cpm	LogFC	LogCPM	Pvalue	FDR		
LOC_Os05g47960	48	149	421	640	1.838121538	5.597966097	15.96382544	24.81633585	2.486542415	3.605482359	1.13E-07	1.60E-05		
LOC_Os01g01430	28	55	205	198	1.072237564	2.066363325	7.773359181	7.677553903	2.321584367	2.241647646	1.22E-07	1.72E-05		
LOC_Os02g26430	5	16	66	119	0.191470994	0.601123876	2.502642468	4.614287447	3.179003237	1.040943196	1.24E-07	1.73E-05		
LOC_Os04g35270	14	22	97	112	0.536118782	0.82654533	3.678126052	4.342858774	2.573439375	1.277985669	1.25E-07	1.73E-05		
LOC_Os06g10510	239	201	677	595	9.15231349	7.551618695	25.67104471	23.07143723	1.564925796	4.040790241	1.33E-07	1.83E-05		
LOC_Os02g51930	341	651	1401	1863	13.05832176	24.45822771	53.12427421	72.23880264	1.769904566	5.35355885	1.36E-07	1.86E-05		
LOC_Os10g30410	146	149	503	414	5.590953011	5.597966097	19.07316911	16.05306725	1.671091842	3.544134587	1.41E-07	1.91E-05		
LOC_Os09g19970	49	90	250	358	1.876415737	3.381321804	9.479706319	13.88163787	2.178039472	2.857997648	1.46E-07	1.98E-05		
LOC_Os10g23900	3	30	140	273	0.114882596	1.127107268	5.308635538	10.58571826	3.702253844	2.130688744	1.67E-07	2.24E-05		
LOC_Os06g02250	1	4	30	41	0.038294199	0.150280969	1.137564758	1.589796515	3.807536565	-0.314214888	1.81E-07	2.42E-05		
LOC_Os11g37210	38	123	462	371	1.455179551	4.621139798	17.51849728	14.38571969	2.418993614	3.260003788	1.83E-07	2.42E-05		
LOC_Os02g57810	0	9	45	113	0	0.33813218	1.706347137	4.381634298	4.160347021	0.753929776	1.86E-07	2.45E-05		
LOC_Os11g07690	10	19	76	119	0.382941987	0.713834603	2.881830721	4.614287447	2.788670275	1.15592312	1.95E-07	2.55E-05		
